"","Estimate","Std.Error","P","95% CI"
"(Intercept)",3.866,0.4,"3.90e-22","[3.083,4.649]"
"Gender diversity (1-STEP)",0.226,0.059,"1.36e-04","[0.11,0.342]"
"Gender diversity (2-STEP)",0.394,0.071,"2.67e-08","[0.255,0.533]"
"Gender diversity (Most GD)",0.388,0.06,"1.06e-10","[0.27,0.505]"
"PEQ Victimization",0.228,0.016,"8.67e-48","[0.198,0.259]"
"Puberty",0.041,0.023,"0.081","[-0.005,0.086]"
"Age",-0.129,0.03,"1.70e-05","[-0.188,-0.07]"
"Birth-assigned sex (Male)",-0.14,0.046,"0.002","[-0.229,-0.05]"
"Parental education",-0.026,0.01,"0.007","[-0.045,-0.007]"
"Family income",-0.025,0.01,"0.014","[-0.045,-0.005]"
