"","Estimate","Std.Error","P","95% CI"
"(Intercept)",1.991,0.2412,"1.78e-16","[1.518, 2.464]"
"PEQ Victimization",0.316,0.0105,"4.1e-190","[0.296, 0.337]"
"Age",-0.111,0.0174,"1.69e-10","[-0.145, -0.077]"
"Birth-assigned sex (Male)",-0.095,0.0249,"1.43e-04","[-0.144, -0.046]"
"Puberty",0.055,0.0133,"3.93e-05","[0.029, 0.081]"
"Parental education",-0.024,0.006,"6.75e-05","[-0.036, -0.012]"
"Family income",-0.018,0.0066,"0.006","[-0.031, -0.005]"
"Race (Black)",0.211,0.0374,"1.74e-08","[0.138, 0.285]"
"Race (Asian)",0.063,0.0735,"0.39","[-0.081, 0.207]"
"Race (AIAN/NHPI)",0.336,0.1354,"0.013","[0.071, 0.602]"
"Race (Other)",0.032,0.0603,"0.599","[-0.086, 0.15]"
"Race (Multiracial)",0.137,0.033,"3.35e-05","[0.072, 0.202]"
"Ethnicity (Hispanic)",0.098,0.0331,"0.003","[0.033, 0.163]"
