"","Estimate","Std.Error","P","95% CI"
"(Intercept)",1.895,0.231,"2.73e-16","[1.443, 2.348]"
"PEQ Victimization",0.242,0.0121,"1.19e-87","[0.218, 0.266]"
"Gender diversity (1-STEP)",0.256,0.0372,"6.43e-12","[0.183, 0.329]"
"Gender diversity (2-STEP)",0.435,0.0496,"1.91e-18","[0.338, 0.532]"
"Gender diversity (Most GD)",0.588,0.0439,"1.53e-40","[0.502, 0.674]"
"Age",-0.1,0.017,"3.61e-09","[-0.134, -0.067]"
"Birth-assigned sex (Male)",-0.01,0.0248,"0.697","[-0.058, 0.039]"
"Puberty",0.049,0.0129,"1.42e-04","[0.024, 0.075]"
"Parental education",-0.027,0.0056,"1.19e-06","[-0.038, -0.016]"
"Family income",-0.025,0.0061,"5.11e-05","[-0.037, -0.013]"
"PEQ Victimization x Gender diversity (1-STEP)",0.228,0.0378,"1.62e-09","[0.154, 0.302]"
"PEQ Victimization x Gender diversity (2-STEP)",0.15,0.0389,"1.19e-04","[0.074, 0.226]"
"PEQ Victimization x Gender diversity (Most GD)",0.181,0.0328,"3.31e-08","[0.117, 0.246]"
