"","Estimate","Std.Error","P","95% CI"
"(Intercept)",3.685,0.399,"2.59e-20","[2.903,4.467]"
"PEQ Victimization",0.06,0.005,"6.72e-33","[0.05,0.069]"
"Gender diversity (1-STEP)",0.165,0.082,"0.044","[0.005,0.325]"
"Gender diversity (2-STEP)",0.459,0.1,"4.80e-06","[0.262,0.656]"
"Gender diversity (Most GD)",0.464,0.082,"1.38e-08","[0.304,0.625]"
"Age",-0.129,0.03,"1.71e-05","[-0.188,-0.07]"
"Birth-assigned sex (Male)",-0.14,0.046,"0.002","[-0.229,-0.05]"
"Puberty",0.039,0.023,"0.095","[-0.007,0.084]"
"Parental education",-0.026,0.01,"0.007","[-0.045,-0.007]"
"Family income",-0.025,0.01,"0.014","[-0.045,-0.005]"
"PEQ Victimization x Gender diversity (1-STEP)",0.014,0.013,"0.284","[-0.012,0.04]"
"PEQ Victimization x Gender diversity (2-STEP)",-0.012,0.013,"0.356","[-0.037,0.013]"
"PEQ Victimization x Gender diversity (Most GD)",-0.014,0.011,"0.176","[-0.035,0.006]"
