"","Estimate","Std.Error","P","95% CI"
"(Intercept)",-0.08,0.2396,"0.737","[-0.55, 0.389]"
"PEQ Victimization",0.34,0.0125,"7.81e-156","[0.315, 0.364]"
"Gender diversity (1-STEP)",0.386,0.0391,"6.78e-23","[0.31, 0.463]"
"Gender diversity (2-STEP)",0.679,0.0519,"9.19e-39","[0.578, 0.781]"
"Gender diversity (Most GD)",0.73,0.0468,"5.42e-54","[0.638, 0.821]"
"Age",0.033,0.0176,"0.059","[-0.001, 0.068]"
"Birth-assigned sex (Male)",0.044,0.0256,"0.087","[-0.006, 0.094]"
"Puberty",0.042,0.0134,"0.002","[0.016, 0.069]"
"Parental education",-0.018,0.0059,"0.002","[-0.03, -0.007]"
"Family income",-0.012,0.0064,"0.052","[-0.025, 0]"
"PEQ Victimization x Gender diversity (1-STEP)",0.07,0.039,"0.072","[-0.006, 0.147]"
"PEQ Victimization x Gender diversity (2-STEP)",0.032,0.0406,"0.434","[-0.048, 0.111]"
"PEQ Victimization x Gender diversity (Most GD)",0.072,0.0368,"0.052","[-0.001, 0.144]"
