"","Estimate","Std.Error","P","95% CI"
"(Intercept)",1.277,0.5726,"0.033","[0.154, 2.399]"
"Gender diversity (1-STEP)",0.22,0.0529,"3.33e-05","[0.116, 0.323]"
"Gender diversity (2-STEP)",0.471,0.0664,"1.33e-12","[0.341, 0.601]"
"Gender diversity (Most GD)",0.572,0.061,"8.38e-21","[0.452, 0.691]"
"State policy (High support)",0.025,0.0429,"0.566","[-0.059, 0.109]"
"PEQ Victimization",0.253,0.0167,"2.06e-51","[0.221, 0.286]"
"Age",-0.099,0.017,"5.1e-09","[-0.133, -0.066]"
"Birth-assigned sex (Male)",-0.012,0.0248,"0.641","[-0.06, 0.037]"
"Puberty",0.048,0.0129,"2.19e-04","[0.022, 0.073]"
"Parental education",-0.027,0.0056,"1.39e-06","[-0.038, -0.016]"
"Family income",-0.025,0.0062,"5.65e-05","[-0.037, -0.013]"
"Gini Coefficient",1.259,1.1075,"0.269","[-0.912, 3.429]"
"Gender diversity (1-STEP) x State policy (High support)",0.075,0.0735,"0.307","[-0.069, 0.219]"
"Gender diversity (2-STEP) x State policy (High support)",-0.083,0.098,"0.398","[-0.275, 0.109]"
"Gender diversity (Most GD) x State policy (High support)",0.032,0.0855,"0.709","[-0.136, 0.2]"
"Gender diversity (1-STEP) x PEQ Victimization",0.16,0.0501,"0.001","[0.062, 0.259]"
"Gender diversity (2-STEP) x PEQ Victimization",0.161,0.0507,"0.001","[0.062, 0.261]"
"Gender diversity (Most GD) x PEQ Victimization",0.224,0.0456,"9.1e-07","[0.135, 0.314]"
"State policy (High support) x PEQ Victimization",-0.023,0.0241,"0.342","[-0.07, 0.024]"
"Gender diversity (1-STEP) x State policy (High support) x PEQ Victimization",0.163,0.0765,"0.033","[0.013, 0.313]"
"Gender diversity (2-STEP) x State policy (High support) x PEQ Victimization",-0.038,0.0794,"0.629","[-0.194, 0.117]"
"Gender diversity (Most GD) x State policy (High support) x PEQ Victimization",-0.089,0.0656,"0.176","[-0.217, 0.04]"
