"","Estimate","Std.Error","P","95% CI"
"(Intercept)",5.082,2.875,"0.085","[-0.553, 10.717]"
"State policy (High support)",0.041,0.2071,"0.846","[-0.365, 0.447]"
"PEQ Victimization",0.44,0.0738,"4.87e-09","[0.295, 0.584]"
"Age",-0.351,0.1149,"0.002","[-0.576, -0.126]"
"Birth-assigned sex (Male)",-0.228,0.2124,"0.284","[-0.644, 0.188]"
"Puberty",0.129,0.0962,"0.181","[-0.06, 0.317]"
"Parental education",-0.035,0.0384,"0.362","[-0.11, 0.04]"
"Family income",-0.024,0.038,"0.532","[-0.098, 0.051]"
"Gini Coefficient",1.52,5.19,"0.773","[-8.653, 11.692]"
"State policy (High support) x PEQ Victimization",-0.043,0.1069,"0.687","[-0.253, 0.166]"
