"","Estimate","Std. Error","Pr(>|z|)","ci"
"(Intercept)",1.906,0.71,"0.007","[0.514,3.298]"
"GV.step1-STEP",0.216,0.141,"0.126","[-0.061,0.493]"
"GV.step2-STEP",0.135,0.183,"0.461","[-0.224,0.494]"
"GV.stepMost GD",0.769,0.166,"3.84e-06","[0.443,1.095]"
"time.point",-0.099,0.021,"3.75e-06","[-0.141,-0.057]"
"delta.GID.LevelsIncreased",0.177,0.098,"0.073","[-0.016,0.37]"
"delta.GID.LevelsLowNoChange",0.166,0.09,"0.067","[-0.012,0.343]"
"z.puberty",0.026,0.02,"0.203","[-0.014,0.066]"
"sexM",-0.095,0.039,"0.015","[-0.172,-0.019]"
"highest_edu",-0.028,0.009,"0.003","[-0.046,-0.01]"
"combined_income",-0.033,0.01,"8.44e-04","[-0.053,-0.014]"
"gini",1.305,1.444,"0.366","[-1.525,4.135]"
"GV.step1-STEP:time.point",0.002,0.054,"0.967","[-0.104,0.108]"
"GV.step2-STEP:time.point",0.034,0.069,"0.622","[-0.101,0.169]"
"GV.stepMost GD:time.point",-0.026,0.054,"0.631","[-0.131,0.079]"
"GV.step1-STEP:delta.GID.LevelsIncreased",0.154,0.218,"0.48","[-0.273,0.581]"
"GV.step2-STEP:delta.GID.LevelsIncreased",-0.182,0.28,"0.517","[-0.731,0.368]"
"GV.stepMost GD:delta.GID.LevelsIncreased",-0.482,0.275,"0.08","[-1.021,0.057]"
"GV.step1-STEP:delta.GID.LevelsLowNoChange",0.069,0.208,"0.739","[-0.338,0.477]"
"GV.step2-STEP:delta.GID.LevelsLowNoChange",0.049,0.279,"0.862","[-0.499,0.596]"
"GV.stepMost GD:delta.GID.LevelsLowNoChange",-0.674,0.235,"0.004","[-1.134,-0.213]"
"time.point:delta.GID.LevelsIncreased",-0.049,0.031,"0.116","[-0.11,0.012]"
"time.point:delta.GID.LevelsLowNoChange",-0.037,0.027,"0.181","[-0.09,0.017]"
"GV.step1-STEP:time.point:delta.GID.LevelsIncreased",-0.12,0.085,"0.158","[-0.287,0.047]"
"GV.step2-STEP:time.point:delta.GID.LevelsIncreased",0.123,0.104,"0.238","[-0.081,0.327]"
"GV.stepMost GD:time.point:delta.GID.LevelsIncreased",0.136,0.089,"0.127","[-0.039,0.311]"
"GV.step1-STEP:time.point:delta.GID.LevelsLowNoChange",-0.05,0.081,"0.539","[-0.208,0.108]"
"GV.step2-STEP:time.point:delta.GID.LevelsLowNoChange",-0.014,0.105,"0.895","[-0.219,0.192]"
"GV.stepMost GD:time.point:delta.GID.LevelsLowNoChange",0.227,0.078,"0.004","[0.075,0.38]"
