"","Estimate","Std.Error","P","95% CI"
"(Intercept)",0.764,0.0681,"3.7e-21","[0.63, 0.897]"
"Gender diversity (1-STEP)",0.225,0.0421,"9.08e-08","[0.142, 0.307]"
"Gender diversity (2-STEP)",0.304,0.0592,"2.9e-07","[0.188, 0.42]"
"Gender diversity (Most GD)",0.472,0.0529,"4.56e-19","[0.369, 0.576]"
"Time",-0.107,0.0127,"5.27e-09","[-0.132, -0.082]"
"Birth-assigned sex (Male)",-0.003,0.0154,"0.845","[-0.033, 0.027]"
"Puberty",0.04,0.0075,"8.74e-08","[0.025, 0.055]"
"Parental education",-0.021,0.0038,"3.54e-08","[-0.029, -0.014]"
"Family income",-0.032,0.0041,"2.44e-14","[-0.04, -0.024]"
"Gender diversity (1-STEP) x Time",-0.025,0.0167,"0.139","[-0.058, 0.008]"
"Gender diversity (2-STEP) x Time",0.011,0.0227,"0.621","[-0.033, 0.056]"
"Gender diversity (Most GD) x Time",0.059,0.0189,"0.002","[0.022, 0.096]"
