"","Estimate","Std.Error","P","95% CI"
"(Intercept)",0.279,0.5886,"0.64","[-0.874, 1.433]"
"Gender diversity (1-STEP)",0.254,0.0903,"0.005","[0.077, 0.431]"
"Gender diversity (2-STEP)",0.205,0.1226,"0.094","[-0.035, 0.446]"
"Gender diversity (Most GD)",0.915,0.1242,"1.84e-13","[0.672, 1.159]"
"Time",-0.062,0.0194,"0.004","[-0.1, -0.024]"
"State policy (Increasing)",0.128,0.1055,"0.231","[-0.079, 0.335]"
"State policy (Consistently low)",0.104,0.1072,"0.342","[-0.106, 0.314]"
"Birth-assigned sex (Male)",-0.042,0.0211,"0.048","[-0.083, 0]"
"Puberty",0.026,0.0103,"0.011","[0.006, 0.046]"
"Parental education",-0.02,0.0053,"2.21e-04","[-0.03, -0.009]"
"Family income",-0.027,0.0058,"2.07e-06","[-0.039, -0.016]"
"Gini Coefficient",0.628,1.215,"0.611","[-1.753, 3.009]"
"Gender diversity (1-STEP) x Time",-0.019,0.032,"0.562","[-0.081, 0.044]"
"Gender diversity (2-STEP) x Time",0.01,0.0429,"0.814","[-0.074, 0.094]"
"Gender diversity (Most GD) x Time",-0.091,0.0381,"0.017","[-0.166, -0.016]"
"Gender diversity (1-STEP) x State policy (Increasing)",0.015,0.1435,"0.918","[-0.267, 0.296]"
"Gender diversity (2-STEP) x State policy (Increasing)",-0.234,0.1948,"0.23","[-0.616, 0.148]"
"Gender diversity (Most GD) x State policy (Increasing)",-0.316,0.2122,"0.136","[-0.732, 0.099]"
"Gender diversity (1-STEP) x State policy (Consistently low)",-0.057,0.1345,"0.671","[-0.321, 0.206]"
"Gender diversity (2-STEP) x State policy (Consistently low)",0.069,0.1919,"0.72","[-0.307, 0.445]"
"Gender diversity (Most GD) x State policy (Consistently low)",-0.922,0.1721,"8.56e-08","[-1.259, -0.585]"
"Time x State policy (Increasing)",-0.04,0.0282,"0.168","[-0.095, 0.016]"
"Time x State policy (Consistently low)",-0.033,0.0278,"0.241","[-0.088, 0.021]"
"Gender diversity (1-STEP) x Time x State policy (Increasing)",-0.047,0.0512,"0.357","[-0.147, 0.053]"
"Gender diversity (2-STEP) x Time x State policy (Increasing)",0.114,0.0675,"0.093","[-0.019, 0.246]"
"Gender diversity (Most GD) x Time x State policy (Increasing)",0.093,0.0652,"0.156","[-0.035, 0.22]"
"Gender diversity (1-STEP) x Time x State policy (Consistently low)",0.003,0.0486,"0.946","[-0.092, 0.098]"
"Gender diversity (2-STEP) x Time x State policy (Consistently low)",-0.018,0.0667,"0.783","[-0.149, 0.112]"
"Gender diversity (Most GD) x Time x State policy (Consistently low)",0.313,0.0548,"1.2e-08","[0.205, 0.42]"
