"","Estimate","Std.Error","P","95% CI"
"(Intercept)",0.156,0.4712,"0.744","[-0.768, 1.079]"
"Gender diversity (1-STEP)",0.193,0.0668,"0.004","[0.062, 0.324]"
"Gender diversity (2-STEP)",0.196,0.0924,"0.034","[0.015, 0.377]"
"Gender diversity (Most GD)",0.768,0.0875,"1.85e-18","[0.596, 0.94]"
"Time",-0.081,0.017,"2.78e-05","[-0.115, -0.048]"
"delta.GID.Levels.1t3Increased",0.135,0.0652,"0.04","[0.007, 0.263]"
"delta.GID.Levels.1t3LowNoChange",0.032,0.078,"0.683","[-0.121, 0.185]"
"Birth-assigned sex (Male)",-0.01,0.0156,"0.508","[-0.041, 0.02]"
"Puberty",0.035,0.0076,"3.26e-06","[0.021, 0.05]"
"Parental education",-0.023,0.0039,"5.82e-09","[-0.031, -0.015]"
"Family income",-0.029,0.0043,"1.12e-11","[-0.038, -0.021]"
"Gini Coefficient",1.171,0.9789,"0.245","[-0.748, 3.089]"
"Gender diversity (1-STEP) x Time",-0.014,0.0257,"0.584","[-0.064, 0.036]"
"Gender diversity (2-STEP) x Time",0.033,0.0349,"0.338","[-0.035, 0.102]"
"Gender diversity (Most GD) x Time",-0.054,0.0301,"0.071","[-0.113, 0.005]"
"Gender diversity (1-STEP) x delta.GID.Levels.1t3Increased",0.101,0.1092,"0.356","[-0.113, 0.315]"
"Gender diversity (2-STEP) x delta.GID.Levels.1t3Increased",0.051,0.1537,"0.742","[-0.251, 0.352]"
"Gender diversity (Most GD) x delta.GID.Levels.1t3Increased",-0.171,0.1457,"0.239","[-0.457, 0.114]"
"Gender diversity (1-STEP) x delta.GID.Levels.1t3LowNoChange",-0.001,0.0993,"0.991","[-0.196, 0.194]"
"Gender diversity (2-STEP) x delta.GID.Levels.1t3LowNoChange",0.301,0.139,"0.03","[0.029, 0.573]"
"Gender diversity (Most GD) x delta.GID.Levels.1t3LowNoChange",-0.698,0.124,"1.83e-08","[-0.941, -0.455]"
"Time x delta.GID.Levels.1t3Increased",-0.046,0.0207,"0.029","[-0.086, -0.005]"
"Time x delta.GID.Levels.1t3LowNoChange",-0.017,0.0234,"0.476","[-0.063, 0.029]"
"Gender diversity (1-STEP) x Time x delta.GID.Levels.1t3Increased",-0.051,0.0435,"0.238","[-0.137, 0.034]"
"Gender diversity (2-STEP) x Time x delta.GID.Levels.1t3Increased",0.019,0.0581,"0.745","[-0.095, 0.133]"
"Gender diversity (Most GD) x Time x delta.GID.Levels.1t3Increased",0.052,0.0508,"0.307","[-0.048, 0.151]"
"Gender diversity (1-STEP) x Time x delta.GID.Levels.1t3LowNoChange",0.007,0.0389,"0.867","[-0.07, 0.083]"
"Gender diversity (2-STEP) x Time x delta.GID.Levels.1t3LowNoChange",-0.084,0.0532,"0.115","[-0.188, 0.02]"
"Gender diversity (Most GD) x Time x delta.GID.Levels.1t3LowNoChange",0.266,0.0439,"1.46e-09","[0.18, 0.352]"
