"","Estimate","Std.Error","P","95% CI"
"(Intercept)",2.278,2.3051,0.334,"[-2.24, 6.796]"
"Time",-0.197,0.0781,0.012,"[-0.35, -0.044]"
"State policy (Increasing)",0.025,0.3975,0.949,"[-0.754, 0.804]"
"State policy (Consistently low)",-0.92,0.3293,0.006,"[-1.565, -0.275]"
"Birth-assigned sex (Male)",-0.24,0.1701,0.159,"[-0.574, 0.093]"
"Puberty",0.05,0.0794,0.531,"[-0.106, 0.205]"
"Parental education",-0.053,0.0334,0.114,"[-0.119, 0.013]"
"Family income",-0.011,0.0344,0.757,"[-0.078, 0.057]"
"Gini Coefficient",-0.233,4.608,0.96,"[-9.265, 8.798]"
"Time x State policy (Increasing)",-0.006,0.1171,0.961,"[-0.235, 0.224]"
"Time x State policy (Consistently low)",0.296,0.0988,0.003,"[0.102, 0.49]"
