"","Estimate","Std.Error","P","95% CI"
"(Intercept)",-0.187,0.4031,"0.645","[-0.977, 0.603]"
"Gender diversity (1-STEP)",0.187,0.0931,"0.045","[0.004, 0.369]"
"Gender diversity (2-STEP)",0.389,0.1247,"0.002","[0.145, 0.634]"
"Gender diversity (Most GD)",0.468,0.1282,"2.6e-04","[0.217, 0.719]"
"Time",0.061,0.0142,"8.83e-05","[0.034, 0.089]"
"State policy (Increasing)",0.057,0.0513,"0.271","[-0.044, 0.157]"
"State policy (Consistently low)",0.208,0.0479,"1.4e-05","[0.114, 0.302]"
"Birth-assigned sex (Male)",0.086,0.0258,"8.67e-04","[0.035, 0.137]"
"Puberty",0.05,0.0118,"2.33e-05","[0.027, 0.073]"
"Parental education",-0.021,0.0066,"0.002","[-0.034, -0.008]"
"Family income",-0.015,0.0072,"0.033","[-0.03, -0.001]"
"Gini Coefficient",0.765,0.8001,"0.348","[-0.803, 2.333]"
"Gender diversity (1-STEP) x Time",0.044,0.0345,"0.203","[-0.024, 0.112]"
"Gender diversity (2-STEP) x Time",0.06,0.046,"0.188","[-0.03, 0.151]"
"Gender diversity (Most GD) x Time",0.074,0.0409,"0.071","[-0.006, 0.154]"
"Gender diversity (1-STEP) x State policy (Increasing)",0.121,0.1486,"0.416","[-0.17, 0.412]"
"Gender diversity (2-STEP) x State policy (Increasing)",-0.39,0.2003,"0.051","[-0.783, 0.002]"
"Gender diversity (Most GD) x State policy (Increasing)",-0.038,0.2224,"0.864","[-0.474, 0.398]"
"Gender diversity (1-STEP) x State policy (Consistently low)",0.125,0.1402,"0.373","[-0.15, 0.4]"
"Gender diversity (2-STEP) x State policy (Consistently low)",-0.076,0.2082,"0.715","[-0.484, 0.332]"
"Gender diversity (Most GD) x State policy (Consistently low)",-0.228,0.1816,"0.21","[-0.584, 0.128]"
"Time x State policy (Increasing)",-0.02,0.0203,"0.335","[-0.06, 0.02]"
"Time x State policy (Consistently low)",-0.055,0.0193,"0.008","[-0.093, -0.017]"
"Gender diversity (1-STEP) x Time x State policy (Increasing)",-0.112,0.0555,"0.043","[-0.221, -0.004]"
"Gender diversity (2-STEP) x Time x State policy (Increasing)",0.147,0.0726,"0.043","[0.005, 0.289]"
"Gender diversity (Most GD) x Time x State policy (Increasing)",0.073,0.0707,"0.303","[-0.066, 0.212]"
"Gender diversity (1-STEP) x Time x State policy (Consistently low)",-0.021,0.0536,"0.7","[-0.126, 0.084]"
"Gender diversity (2-STEP) x Time x State policy (Consistently low)",0.042,0.0762,"0.578","[-0.107, 0.192]"
"Gender diversity (Most GD) x Time x State policy (Consistently low)",0.069,0.0614,"0.264","[-0.052, 0.189]"
