"","Estimate","Std.Error","P","95% CI"
"(Intercept)",1.415,0.2492,"1.42e-08","[0.926, 1.903]"
"Gender diversity (1-STEP)",0.314,0.039,"8.63e-16","[0.238, 0.391]"
"Gender diversity (2-STEP)",0.596,0.0505,"7.76e-32","[0.497, 0.695]"
"Gender diversity (Most GD)",0.78,0.0446,"2.48e-67","[0.692, 0.867]"
"Age",-0.08,0.0179,"6.99e-06","[-0.116, -0.045]"
"Birth-assigned sex (Male)",0.007,0.0262,"0.795","[-0.044, 0.058]"
"Puberty",0.045,0.0137,"0.001","[0.018, 0.072]"
"Parental education",-0.024,0.0062,"1.14e-04","[-0.036, -0.012]"
"Family income",-0.014,0.0068,"0.036","[-0.028, -0.001]"
"Race (Black)",0.209,0.0386,"6.9e-08","[0.133, 0.284]"
"Race (Asian)",-0.03,0.0756,"0.692","[-0.178, 0.118]"
"Race (AIAN/NHPI)",0.343,0.1395,"0.014","[0.069, 0.616]"
"Race (Other)",0.01,0.0621,"0.868","[-0.111, 0.132]"
"Race (Multiracial)",0.109,0.0341,"0.001","[0.042, 0.176]"
"Ethnicity (Hispanic)",0.056,0.034,"0.098","[-0.01, 0.123]"
