"","Estimate","Std.Error","P","95% CI"
"(Intercept)",-0.499,0.2514,"0.047","[-0.992, -0.007]"
"Gender diversity (1-STEP)",0.157,0.0394,"6.88e-05","[0.08, 0.234]"
"Gender diversity (2-STEP)",0.409,0.0511,"1.27e-15","[0.309, 0.51]"
"Gender diversity (Most GD)",0.471,0.0451,"2e-25","[0.383, 0.559]"
"Age",0.041,0.0181,"0.024","[0.005, 0.076]"
"Birth-assigned sex (Male)",0.054,0.0264,"0.042","[0.002, 0.106]"
"Puberty",0.023,0.0139,"0.09","[-0.004, 0.051]"
"Parental education",-0.004,0.0063,"0.527","[-0.016, 0.008]"
"Family income",-0.003,0.0069,"0.623","[-0.017, 0.01]"
"Race (Black)",-0.045,0.0389,"0.242","[-0.122, 0.031]"
"Race (Asian)",-0.357,0.0762,"2.92e-06","[-0.506, -0.207]"
"Race (AIAN/NHPI)",0.061,0.1408,"0.662","[-0.214, 0.337]"
"Race (Other)",-0.083,0.0626,"0.186","[-0.206, 0.04]"
"Race (Multiracial)",-0.031,0.0344,"0.366","[-0.098, 0.036]"
"Ethnicity (Hispanic)",-0.149,0.034,"1.24e-05","[-0.216, -0.082]"
