"","Estimate","Std.Error","P","95% CI"
"(Intercept)",-0.06,0.2055,"0.769","[-0.463, 0.342]"
"Gender diversity (1-STEP)",0.054,0.0332,"0.106","[-0.011, 0.119]"
"Gender diversity (2-STEP)",0.279,0.0431,"9.97e-11","[0.195, 0.364]"
"Gender diversity (Most GD)",0.352,0.0379,"1.92e-20","[0.278, 0.426]"
"Age",0.008,0.0152,"0.598","[-0.022, 0.038]"
"Birth-assigned sex (Male)",-0.076,0.0223,"6.72e-04","[-0.119, -0.032]"
"Puberty",0.002,0.0116,"0.839","[-0.02, 0.025]"
"Parental education",-0.008,0.005,"0.136","[-0.017, 0.002]"
"Family income",0.01,0.0055,"0.08","[-0.001, 0.02]"
"PEQ Perpetration",0.547,0.0095,"<2e-16","[0.528, 0.566]"
